"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
431,"Anna Wojciechowska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",35,"Olsztyn",18828
432,"Agnieszka Wojciechowska van Heukelom","wyższe","Prawo i Sprawiedliwość",9,"Łódź",10557
433,"Agata Wojtyszek","wyższe","Prawo i Sprawiedliwość",33,"Kielce",15405
434,"Bogusław Wołoszański","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",10,"Piotrków Trybunalski",35202
435,"Michał Woś","wyższe","Prawo i Sprawiedliwość",30,"Bielsko-Biała",39902
436,"Grzegorz Woźniak","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",9088
437,"Tadeusz Woźniak","wyższe","Prawo i Sprawiedliwość",11,"Sieradz",19691
438,"Michał Wójcik","wyższe","Prawo i Sprawiedliwość",31,"Katowice",8270
439,"Maciej Wróbel","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",35,"Olsztyn",9837
440,"Bartłomiej Wróblewski","wyższe","Prawo i Sprawiedliwość",39,"Poznań",28860
441,"Paweł Zalewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",20,"Warszawa",35395
442,"Adrian Zandberg","wyższe","Nowa Lewica",19,"Warszawa",64435
443,"Andrzej Tomasz Zapałowski","wyższe","Konfederacja Wolność i Niepodległość",22,"Krosno",14475
444,"Bartosz Zawieja","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",9103
445,"Marcelina Zawisza","wyższe","Nowa Lewica",21,"Opole",19388
446,"Sławomir Zawiślak","wyższe","Prawo i Sprawiedliwość",7,"Chełm",10936
447,"Bogdan Andrzej Zdrojewski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",85099
448,"Witold Zembaczyński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",21,"Opole",23647
449,"Piotr Zgorzelski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",16,"Płock",32011
450,"Zbigniew Ziejewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",34,"Elbląg",12695
451,"Urszula Sara Zielińska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",16470
452,"Jarosław Zieliński","wyższe","Prawo i Sprawiedliwość",24,"Białystok",20812
453,"Tomasz Zieliński","wyższe","Prawo i Sprawiedliwość",7,"Chełm",13469
454,"Jolanta Zięba-Gzik","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",11,"Sieradz",10474
455,"Tomasz Zimoch","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",3,"Wrocław",34187
456,"Zbigniew Ziobro","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",74592
457,"Wojciech Michał Zubowski","wyższe","Prawo i Sprawiedliwość",1,"Legnica",8527
458,"Ireneusz Zyska","wyższe","Prawo i Sprawiedliwość",2,"Wałbrzych",11817
459,"Bożena Żelazowska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",20,"Warszawa",17416
460,"Anna Maria Żukowska","wyższe","Nowa Lewica",19,"Warszawa",38426
